Tweet Content,Tweet URL,Category No.,,LEGEND,,,Distribution,
"Nets are resting Kyrie Irving tonight, Nets say. Both Durant and Irving out vs. Memphis.",https://twitter.com/wojespn/status/1343652556057272322,2,,0,Player News,,Player News,27
"Morey was fined for an anniversary tweet on a past Harden accomplishment with Rockets that popped up on his twitter feed. He deleted it several minutes later. Morey told league it was an inadvertent post from an automated app, sources said. https://t.co/HJmJUED460",https://twitter.com/wojespn/status/1343634855100379136,5,,1,League Logistics,,League Logistics,25
ESPN story on @KarlTowns dislocated left wrist and impending absence for the 2-0 Timberwolves: https://t.co/FFlrgcRPBp,https://twitter.com/wojespn/status/1343370710023077893,2,,2,Injury Report,,Injury Report,21
Nets ruled out Spencer Dinwiddie for rest of game with Charlotte because of a right knee strain.,https://twitter.com/wojespn/status/1343369346249355265,2,,3,Rumors,,Rumors,38
"Portland's Carmelo Anthony didn't make the trip to Los Angeles for Monday's game vs. the Lakers because of ""health and safety"" protocols, team says.",https://twitter.com/wojespn/status/1343363488282980353,2,,4,Team Transactions,,Team Transactions,100
"There’s optimism that this will be a relatively short-term absence for Towns, who’s led the Wolves to a 2-0 start with 22.6 points, 11.5 rebounds and 5 assists per game. Timberwolves play the Lakers tonight. https://t.co/A8O8rQ6zHp",https://twitter.com/wojespn/status/1343361319018364928,2,,5,Miscellaneous,,Miscellaneous,59
Timberwolves: Karl-Anthony Towns suffered a left wrist dislocation and will be re-evaluated weekly on a return to play plan. He won’t require surgery. A hand specialist evaluated Towns in LA today.,https://twitter.com/wojespn/status/1343361046204080134,2,,,,,,
Sources: MRI on left wrist of Minnesota star Karl-Anthony Towns shows no bone damage. Team calling him “questionable” for game against Lakers tonight. Wolves are one of four teams in the West off to a 2-0 start.,https://twitter.com/wojespn/status/1343296315455893506,2,,,,,,
"Portland has exercised the fourth year rookie scale option for Anfernee Simons and third year option for Nassir Little, sources tell ESPN.",https://twitter.com/wojespn/status/1343272459357876226,4,,,,,,
Harden completed a four-day quarantine on Friday. https://t.co/hYAVi50Zja,https://twitter.com/wojespn/status/1342891528809836544,0,,,,,,
"Rockets star James Harden has traveled to Portland and been cleared to play vs. the Blazers tonight, sources tell ESPN.",https://twitter.com/wojespn/status/1342890892907208707,2,,,,,,
Grizzlies missing a key bench performer now https://t.co/wA4pQ4Z7uK,https://twitter.com/wojespn/status/1342879215679635457,2,,,,,,
"The Lakers have begun engaging with starting point guard Dennis Schroder in contract extension talks, and those discussions are expected to pick up again as soon as mid-February, sources tell ESPN. https://t.co/isRlfv5qCH",https://twitter.com/wojespn/status/1342629993810173952,3,,,,,,
"The NBA is allowing exceptions for team physicians and health-related personnel and older staff members or those with conditions that deliver a higher risk for complications upon contracting the coronavirus, the memo said. https://t.co/2SRezERrQF",https://twitter.com/wojespn/status/1342259981735833607,1,,,,,,
ESPN story on NBA memo to teams reinforcing that organizations are forbidden to try and jump the line on administering coronavirus vaccines: https://t.co/dIajpi7fU4,https://twitter.com/wojespn/status/1342259293811335169,1,,,,,,
